場所,キャッチコピー,説明
兼六園,国の特別名勝指定。冬は演奏やライトアップを楽しめる,石川県金沢市にある日本庭園です。17世紀中期、加賀藩により金沢城の外郭に造営された藩庭が起源といわれ、国の特別名勝にも指定。冬には、特別演奏やライトアップイベントが行われるなど、観て・聴いて楽しいイベントとなっています。
大内宿,江戸時代の面影が残る雪景色の街並みを散策,江戸時代の宿場町として栄え、茅葺屋根の民家が並ぶ歴史的景観がそのまま残っている大内宿。昭和56年に国の重要伝統的建造物群保存地区に指定され、住民は「売らない・貸さない・壊さない」の原則を守り、景観と伝統技術の継承に努めています。未来の子供たちへ、この大切な村の景観を引き継ぐことを目指す土地です。
ユニバーサル・スタジオ・ジャパン,季節ごとに変わるパレードやショーも楽しめる,ハリウッド映画やキャラクターをテーマにした、ユニバーサル・スタジオ・ジャパン。ハリー・ポッターの世界観を再現したアトラクションから、季節ごとに変わるパレードやショーまで、年齢を問わず楽しめるのが魅力です。スーパー・ニンテンドー・ワールドは、自らがマリオになってゲーム内を冒険している感覚が味わえます。
あしかがフラワーパーク,春が藤棚、冬はイルミネーションが見どころ,栃木県にある、色とりどりの花が咲くフラワーパーク。樹齢160年におよぶ600畳敷の大藤棚3面と世界でも珍しい八重の大藤棚・庭木仕立ての藤・80ｍ続く白藤のトンネルを見ることができます。冬季は藤色の花房をイメージした電飾が咲き広がるストーリーが演出されているイルミネーションも見どころです。
榛名湖畔,高崎の中でも人気のアウトドアスポット,榛名山の火山活動によって形成された自然豊かなアウトドアスポットで、高崎市の人気観光地です。ボートや遊覧船、オートキャンプを楽しめるほか、ヒルクライムやトライアスロンなど多くのスポーツイベントを開催。冬には約50万球の電球が彩るイルミネーションフェスタや、秋の紅葉が美しい景観を楽しませてくれます。
出雲大社,日本で最も古い神社建築の形式である大社造りの神社,伊勢神宮に並ぶ古社で、大國さまとして親しまれる大国主大神様を奉られています。縁結びの神・福の神として親しまれている神社です。1744年に建てられた本殿は、日本で最も古い神社建築の形式である大社造りで国宝に指定されています。
白馬さのさかスキー場,上質の粉雪が魅力のスキー場。各種スクールも開催,森と湖に囲まれたロケーションと、上質な粉雪が魅力のスキー場。初心者・中級者向けの快適なロングコースや、テクニカルスノーボーダーの聖地として名高いゲレンデコースなど15のコースがあります。また、スキースクールやスノーボードスクールほか、テレマークとアルペンスキーなどあらゆるレッスンも開催していますよ。
黒川温泉,300個の竹の灯篭が魅力的、田舎の温泉街,緑ゆたかな山々に囲まれ、30軒の旅館が集まった黒川温泉郷。高速道路からも駅からも遠い田舎の温泉街で、季節ごとに美しく表情を変える自然と豊富なお湯を堪能できます。クリスマス頃からは、約300個手作りの竹の灯篭が温泉街にあかりを灯すのも魅力的です。
アクアワールド茨城県大洗水族館,海の生物たちと共に泳いでいるかのような迫力を体感できる,国内屈指の大型水族館で、茨城の海を再現した「出会いの海の大水槽」がメインです。「くらげ365」や多種多様なサメなど、見どころが豊富で一日中楽しめます。大水槽を下から見ると、まるで海の生物と一緒に泳いでいるような迫力がありますよ。
西武園ゆうえんち,昭和の懐かしさと熱気が押し寄せるノスタルジックなスポット,園内全体が昭和のムードに包まれたユニークなテーマパーク。当時の価値と同じ園内通貨で買い物したり、昭和の熱気あふれるショーを観覧したりしてノスタルジックなムードに浸れます。大迫力のゴジラ・ザ・ライドや、鉄腕アトムとコラボしたアトラクションも見どころです。
東京ドイツ村,ドイツの田園風景でイルミネーションが楽しめる,ゆるやかに起伏する緑の丘がドイツの田園風景と似ていたことからドイツ村と名付けられました。広い敷地に四季折々の花が咲き、さまざまなアトラクションと自然との触れ合いを楽しむことを目的としたテーマパーク。11月からは光り輝く大草原で光と音のショーや虹のトンネルなどのイルミネーションが楽しめます。
マクセル アクアパーク品川,多彩な演出で生きものの魅力を伝える都市型水族館,"品川駅から徒歩約2分、多彩な演出で生きものの魅力を伝える、TOKYO最先端エンターテインメント。デジタルテクノロジーを駆使した空間で、海の世界の魅力を届ける都市型水族館です。季節ごとの表情を捉え、さらに昼・夜でも可変していく多彩な演出で、約350種20,000点の生きものたちを彩ります。"
